event_type,timestamp,order_id,time,quantity,wait_time,remaining_parts,machine,item_id,start_time,end_time,processing_time,failure_time,repair_time,downtime,departure_time,products_shipped,delay_time,product_ids,parts_added,new_level
machine_processing,0.0,,,,0.0,,Machine A,7.0,2.969714610679099,3.0530479440124325,0.08333333333333348,,,,,,,,,
warehouse_get,3.0530479440124325,,3.0530479440124325,1.0,0.0,192.0,,,,,,,,,,,,,,
order_arrival,3.1001605338057754,25.0,3.1001605338057754,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,7.0,3.0530479440124325,3.136381277345766,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,8.0,3.0530479440124325,3.136381277345766,0.08333333333333348,,,,,,,,,
warehouse_get,3.136381277345766,,3.136381277345766,1.0,0.0,191.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,8.0,3.136381277345766,3.2197146106790995,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,9.0,3.136381277345766,3.2197146106790995,0.08333333333333348,,,,,,,,,
warehouse_get,3.2197146106790995,,3.2197146106790995,1.0,0.0,190.0,,,,,,,,,,,,,,
order_arrival,3.2964115983727154,26.0,3.2964115983727154,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,9.0,3.2197146106790995,3.303047944012433,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,10.0,3.2197146106790995,3.303047944012433,0.08333333333333348,,,,,,,,,
warehouse_get,3.303047944012433,,3.303047944012433,1.0,0.0,189.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,10.0,3.303047944012433,3.3863812773457664,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,11.0,3.303047944012433,3.3863812773457664,0.08333333333333348,,,,,,,,,
warehouse_get,3.3863812773457664,,3.3863812773457664,1.0,0.0,188.0,,,,,,,,,,,,,,
order_arrival,3.4116659619772407,27.0,3.4116659619772407,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,11.0,3.3863812773457664,3.4697146106791,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,12.0,3.3863812773457664,3.4697146106791,0.08333333333333348,,,,,,,,,
warehouse_get,3.4697146106791,,3.4697146106791,1.0,0.0,187.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,12.0,3.4697146106791,3.5530479440124334,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,13.0,3.4697146106791,3.5530479440124334,0.08333333333333348,,,,,,,,,
warehouse_get,3.5530479440124334,,3.5530479440124334,1.0,0.0,186.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,13.0,3.5530479440124334,3.636381277345767,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,14.0,3.5530479440124334,3.636381277345767,0.08333333333333348,,,,,,,,,
warehouse_get,3.636381277345767,,3.636381277345767,1.0,0.0,185.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,14.0,3.636381277345767,3.7197146106791004,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,15.0,3.636381277345767,3.7197146106791004,0.08333333333333348,,,,,,,,,
warehouse_get,3.7197146106791004,,3.7197146106791004,1.0,0.0,184.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,15.0,3.7197146106791004,3.803047944012434,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,16.0,3.7197146106791004,3.803047944012434,0.08333333333333348,,,,,,,,,
warehouse_get,3.803047944012434,,3.803047944012434,1.0,0.0,183.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,16.0,3.803047944012434,3.8863812773457673,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,17.0,3.803047944012434,3.8863812773457673,0.08333333333333348,,,,,,,,,
warehouse_get,3.8863812773457673,,3.8863812773457673,1.0,0.0,182.0,,,,,,,,,,,,,,
order_arrival,3.954098239830744,28.0,3.954098239830744,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,17.0,3.8863812773457673,3.969714610679101,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,18.0,3.8863812773457673,3.969714610679101,0.08333333333333348,,,,,,,,,
warehouse_get,3.969714610679101,,3.969714610679101,1.0,0.0,181.0,,,,,,,,,,,,,,
order_arrival,4.0254494422580915,29.0,4.0254494422580915,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,18.0,3.969714610679101,4.053047944012434,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,19.0,3.969714610679101,4.053047944012434,0.08333333333333304,,,,,,,,,
warehouse_get,4.053047944012434,,4.053047944012434,1.0,0.0,180.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,19.0,4.053047944012434,4.136381277345767,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,20.0,4.053047944012434,4.136381277345767,0.08333333333333304,,,,,,,,,
warehouse_get,4.136381277345767,,4.136381277345767,1.0,0.0,179.0,,,,,,,,,,,,,,
order_arrival,4.145907354081064,30.0,4.145907354081064,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,20.0,4.136381277345767,4.2197146106791,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,21.0,4.136381277345767,4.2197146106791,0.08333333333333304,,,,,,,,,
warehouse_get,4.2197146106791,,4.2197146106791,1.0,0.0,178.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,21.0,4.2197146106791,4.303047944012433,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,22.0,4.2197146106791,4.303047944012433,0.08333333333333304,,,,,,,,,
warehouse_get,4.303047944012433,,4.303047944012433,1.0,0.0,177.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,22.0,4.303047944012433,4.386381277345766,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,23.0,4.303047944012433,4.386381277345766,0.08333333333333304,,,,,,,,,
warehouse_get,4.386381277345766,,4.386381277345766,1.0,0.0,176.0,,,,,,,,,,,,,,
order_arrival,4.41117650176889,31.0,4.41117650176889,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,24.0,4.386381277345766,4.469714610679099,0.08333333333333304,,,,,,,,,
warehouse_get,4.469714610679099,,4.469714610679099,1.0,0.0,175.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,25.0,4.469714610679099,4.553047944012432,0.08333333333333304,,,,,,,,,
warehouse_get,4.553047944012432,,4.553047944012432,1.0,0.0,174.0,,,,,,,,,,,,,,
order_arrival,4.555730932537917,32.0,4.555730932537917,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,26.0,4.553047944012432,4.636381277345765,0.08333333333333304,,,,,,,,,
warehouse_get,4.636381277345765,,4.636381277345765,1.0,0.0,173.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,27.0,4.636381277345765,4.719714610679098,0.08333333333333304,,,,,,,,,
warehouse_get,4.719714610679098,,4.719714610679098,1.0,0.0,172.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,28.0,4.719714610679098,4.803047944012431,0.08333333333333304,,,,,,,,,
warehouse_get,4.803047944012431,,4.803047944012431,1.0,0.0,171.0,,,,,,,,,,,,,,
machine_failure,0.0,,,,,,Machine B,,,,,4.8243609611244835,,,,,,,,
order_arrival,4.852487922839429,33.0,4.852487922839429,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,29.0,4.803047944012431,4.886381277345764,0.08333333333333304,,,,,,,,,
warehouse_get,4.886381277345764,,4.886381277345764,1.0,0.0,170.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,30.0,4.886381277345764,4.969714610679097,0.08333333333333304,,,,,,,,,
warehouse_get,4.969714610679097,,4.969714610679097,1.0,0.0,169.0,,,,,,,,,,,,,,
order_arrival,5.035387358676603,34.0,5.035387358676603,,,,,,,,,,,,,,,,,
order_arrival,5.042423489715136,35.0,5.042423489715136,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,31.0,4.969714610679097,5.05304794401243,0.08333333333333304,,,,,,,,,
warehouse_get,5.05304794401243,,5.05304794401243,1.0,0.0,168.0,,,,,,,,,,,,,,
order_arrival,5.081219335267211,36.0,5.081219335267211,,,,,,,,,,,,,,,,,
order_arrival,5.132463633844163,37.0,5.132463633844163,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,32.0,5.05304794401243,5.136381277345763,0.08333333333333304,,,,,,,,,
warehouse_get,5.136381277345763,,5.136381277345763,1.0,0.0,167.0,,,,,,,,,,,,,,
order_arrival,5.144936962213012,38.0,5.144936962213012,,,,,,,,,,,,,,,,,
order_arrival,5.184686343671812,39.0,5.184686343671812,,,,,,,,,,,,,,,,,
order_arrival,5.200657418848534,40.0,5.200657418848534,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,33.0,5.136381277345763,5.219714610679096,0.08333333333333304,,,,,,,,,
warehouse_get,5.219714610679096,,5.219714610679096,1.0,0.0,166.0,,,,,,,,,,,,,,
order_arrival,5.249511455843778,41.0,5.249511455843778,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,34.0,5.219714610679096,5.303047944012429,0.08333333333333304,,,,,,,,,
warehouse_get,5.303047944012429,,5.303047944012429,1.0,0.0,165.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,35.0,5.303047944012429,5.386381277345762,0.08333333333333304,,,,,,,,,
warehouse_get,5.386381277345762,,5.386381277345762,1.0,0.0,164.0,,,,,,,,,,,,,,
order_arrival,5.40097168717395,42.0,5.40097168717395,,,,,,,,,,,,,,,,,
order_arrival,5.469051591661967,43.0,5.469051591661967,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,36.0,5.386381277345762,5.4697146106790955,0.08333333333333304,,,,,,,,,
warehouse_get,5.4697146106790955,,5.4697146106790955,1.0,0.0,163.0,,,,,,,,,,,,,,
order_arrival,5.538400004199834,44.0,5.538400004199834,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,37.0,5.4697146106790955,5.5530479440124285,0.08333333333333304,,,,,,,,,
warehouse_get,5.5530479440124285,,5.5530479440124285,1.0,0.0,162.0,,,,,,,,,,,,,,
order_arrival,5.573664781667895,45.0,5.573664781667895,,,,,,,,,,,,,,,,,
order_arrival,5.620251679838892,46.0,5.620251679838892,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,38.0,5.5530479440124285,5.6363812773457616,0.08333333333333304,,,,,,,,,
order_arrival,6.034124598840721,47.0,6.034124598840721,,,,,,,,,,,,,,,,,
order_arrival,6.190758294046603,48.0,6.190758294046603,,,,,,,,,,,,,,,,,
order_arrival,6.331665718246043,49.0,6.331665718246043,,,,,,,,,,,,,,,,,
order_arrival,6.3598210760499105,50.0,6.3598210760499105,,,,,,,,,,,,,,,,,
order_arrival,6.555736744556768,51.0,6.555736744556768,,,,,,,,,,,,,,,,,
order_arrival,6.58249857467796,52.0,6.58249857467796,,,,,,,,,,,,,,,,,
machine_failure,0.0,,,,,,Machine A,,,,,6.615323706835408,,,,,,,,
order_arrival,6.654072254682112,53.0,6.654072254682112,,,,,,,,,,,,,,,,,
order_arrival,6.807319841751148,54.0,6.807319841751148,,,,,,,,,,,,,,,,,
order_arrival,6.929430652276267,55.0,6.929430652276267,,,,,,,,,,,,,,,,,
order_arrival,7.102524470676575,56.0,7.102524470676575,,,,,,,,,,,,,,,,,
machine_repair,0.0,,,,,,Machine C,,,,,,7.1453590765545085,4.114324848513146,,,,,,
machine_processing,0.0,,,,4.099999999999985,,Machine C,6.0,7.153047944012418,7.219714610679085,0.06666666666666643,,,,,,,,,
order_completed,7.219714610679085,6.0,7.219714610679085,,,,,,,,,,,,,,,,,
warehouse_get,7.219714610679085,,7.219714610679085,1.0,0.0,161.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,7.0,7.219714610679085,7.286381277345751,0.06666666666666643,,,,,,,,,
order_completed,7.286381277345751,7.0,7.286381277345751,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,8.0,7.286381277345751,7.353047944012418,0.06666666666666643,,,,,,,,,
order_completed,7.353047944012418,8.0,7.353047944012418,,,,,,,,,,,,,,,,,
order_arrival,7.380109480873701,57.0,7.380109480873701,,,,,,,,,,,,,,,,,
machine_repair,0.0,,,,,,Machine B,,,,,,7.408008785171021,2.5836478240465377,,,,,,
order_arrival,7.419128869500299,58.0,7.419128869500299,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,9.0,7.353047944012418,7.419714610679084,0.06666666666666643,,,,,,,,,
order_completed,7.419714610679084,9.0,7.419714610679084,,,,,,,,,,,,,,,,,
order_arrival,7.475978576034099,59.0,7.475978576034099,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,10.0,7.419714610679084,7.4863812773457505,0.06666666666666643,,,,,,,,,
order_completed,7.4863812773457505,10.0,7.4863812773457505,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.1999999999999993,,Machine B,23.0,7.419714610679084,7.503047944012417,0.08333333333333304,,,,,,,,,
order_arrival,7.52272170099811,60.0,7.52272170099811,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,11.0,7.4863812773457505,7.553047944012417,0.06666666666666643,,,,,,,,,
order_completed,7.553047944012417,11.0,7.553047944012417,,,,,,,,,,,,,,,,,
order_arrival,7.558266783078407,61.0,7.558266783078407,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,24.0,7.503047944012417,7.58638127734575,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,12.0,7.553047944012417,7.619714610679083,0.06666666666666643,,,,,,,,,
order_completed,7.619714610679083,12.0,7.619714610679083,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,25.0,7.58638127734575,7.669714610679083,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,13.0,7.619714610679083,7.68638127734575,0.06666666666666643,,,,,,,,,
order_completed,7.68638127734575,13.0,7.68638127734575,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,26.0,7.669714610679083,7.753047944012416,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,14.0,7.68638127734575,7.753047944012416,0.06666666666666643,,,,,,,,,
order_completed,7.753047944012416,14.0,7.753047944012416,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,15.0,7.753047944012416,7.819714610679083,0.06666666666666643,,,,,,,,,
order_completed,7.819714610679083,15.0,7.819714610679083,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,27.0,7.753047944012416,7.836381277345749,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,16.0,7.819714610679083,7.886381277345749,0.06666666666666643,,,,,,,,,
order_completed,7.886381277345749,16.0,7.886381277345749,,,,,,,,,,,,,,,,,
machine_failure,0.0,,,,,,Machine B,,,,,7.897410107473112,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,28.0,7.836381277345749,7.919714610679082,0.08333333333333304,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,17.0,7.886381277345749,7.9530479440124155,0.06666666666666643,,,,,,,,,
order_completed,7.9530479440124155,17.0,7.9530479440124155,,,,,,,,,,,,,,,,,
order_arrival,7.987734978866426,62.0,7.987734978866426,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,18.0,7.9530479440124155,8.019714610679083,0.06666666666666732,,,,,,,,,
order_completed,8.019714610679083,18.0,8.019714610679083,,,,,,,,,,,,,,,,,
order_arrival,8.044414924502705,63.0,8.044414924502705,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,19.0,8.019714610679083,8.08638127734575,0.06666666666666643,,,,,,,,,
order_completed,8.08638127734575,19.0,8.08638127734575,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,20.0,8.08638127734575,8.153047944012416,0.06666666666666643,,,,,,,,,
order_completed,8.153047944012416,20.0,8.153047944012416,,,,,,,,,,,,,,,,,
lorry_departure,0.0,,,,,,,,,,,,,,8.153047944012416,20.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,
order_arrival,8.204237399191653,64.0,8.204237399191653,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,21.0,8.153047944012416,8.219714610679082,0.06666666666666643,,,,,,,,,
order_completed,8.219714610679082,21.0,8.219714610679082,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,22.0,8.219714610679082,8.286381277345749,0.06666666666666643,,,,,,,,,
order_completed,8.286381277345749,22.0,8.286381277345749,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,23.0,8.286381277345749,8.353047944012415,0.06666666666666643,,,,,,,,,
order_completed,8.353047944012415,23.0,8.353047944012415,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,24.0,8.353047944012415,8.419714610679081,0.06666666666666643,,,,,,,,,
order_completed,8.419714610679081,24.0,8.419714610679081,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,25.0,8.419714610679081,8.486381277345748,0.06666666666666643,,,,,,,,,
order_completed,8.486381277345748,25.0,8.486381277345748,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,26.0,8.486381277345748,8.553047944012414,0.06666666666666643,,,,,,,,,
order_completed,8.553047944012414,26.0,8.553047944012414,,,,,,,,,,,,,,,,,
order_arrival,8.573206748664772,65.0,8.573206748664772,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,27.0,8.553047944012414,8.61971461067908,0.06666666666666643,,,,,,,,,
order_completed,8.61971461067908,27.0,8.61971461067908,,,,,,,,,,,,,,,,,
order_arrival,8.665316078315815,66.0,8.665316078315815,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,28.0,8.61971461067908,8.686381277345747,0.06666666666666643,,,,,,,,,
order_completed,8.686381277345747,28.0,8.686381277345747,,,,,,,,,,,,,,,,,
order_arrival,8.711474341457892,67.0,8.711474341457892,,,,,,,,,,,,,,,,,
order_arrival,8.753953665827545,68.0,8.753953665827545,,,,,,,,,,,,,,,,,
order_arrival,8.87756788464415,69.0,8.87756788464415,,,,,,,,,,,,,,,,,
order_arrival,8.923290412027029,70.0,8.923290412027029,,,,,,,,,,,,,,,,,
order_arrival,9.055062358344777,71.0,9.055062358344777,,,,,,,,,,,,,,,,,
order_arrival,9.397219488788096,72.0,9.397219488788096,,,,,,,,,,,,,,,,,
order_arrival,9.473693533462026,73.0,9.473693533462026,,,,,,,,,,,,,,,,,
order_arrival,9.510832170959588,74.0,9.510832170959588,,,,,,,,,,,,,,,,,
order_arrival,10.41182538584936,75.0,10.41182538584936,,,,,,,,,,,,,,,,,
order_arrival,10.518682926941047,76.0,10.518682926941047,,,,,,,,,,,,,,,,,
order_arrival,10.53297950692038,77.0,10.53297950692038,,,,,,,,,,,,,,,,,
order_arrival,10.540218881561264,78.0,10.540218881561264,,,,,,,,,,,,,,,,,
order_arrival,10.557639830319062,79.0,10.557639830319062,,,,,,,,,,,,,,,,,
order_arrival,10.705745839893748,80.0,10.705745839893748,,,,,,,,,,,,,,,,,
order_arrival,10.941335664623319,81.0,10.941335664623319,,,,,,,,,,,,,,,,,
order_arrival,11.023604395790866,82.0,11.023604395790866,,,,,,,,,,,,,,,,,
order_arrival,11.033449697139089,83.0,11.033449697139089,,,,,,,,,,,,,,,,,
order_arrival,11.105547342631349,84.0,11.105547342631349,,,,,,,,,,,,,,,,,
order_arrival,11.938388730724093,85.0,11.938388730724093,,,,,,,,,,,,,,,,,
warehouse_replenishment,12.0,,12.0,,,,,,,,,,,,,,,,100.0,261.0
order_arrival,12.051359728526663,86.0,12.051359728526663,,,,,,,,,,,,,,,,,
order_arrival,12.582834596149297,87.0,12.582834596149297,,,,,,,,,,,,,,,,,
order_arrival,12.87858925481398,88.0,12.87858925481398,,,,,,,,,,,,,,,,,
order_arrival,12.88032137047076,89.0,12.88032137047076,,,,,,,,,,,,,,,,,
order_arrival,13.071653410071717,90.0,13.071653410071717,,,,,,,,,,,,,,,,,
order_arrival,13.243372438295845,91.0,13.243372438295845,,,,,,,,,,,,,,,,,
order_arrival,13.358867060159621,92.0,13.358867060159621,,,,,,,,,,,,,,,,,
order_arrival,13.405422728127917,93.0,13.405422728127917,,,,,,,,,,,,,,,,,
order_arrival,13.559071700954997,94.0,13.559071700954997,,,,,,,,,,,,,,,,,
order_arrival,13.576813604069601,95.0,13.576813604069601,,,,,,,,,,,,,,,,,
order_arrival,13.662390726357277,96.0,13.662390726357277,,,,,,,,,,,,,,,,,
order_arrival,13.753085286186929,97.0,13.753085286186929,,,,,,,,,,,,,,,,,
machine_repair,0.0,,,,,,Machine B,,,,,,14.168738647008801,6.2713285395356895,,,,,,
order_arrival,14.214353329967945,98.0,14.214353329967945,,,,,,,,,,,,,,,,,
